srr,srr_alias,srx,paired,spots,spots_with_mate,avgLength,srx_alias,srx_title,srx_design,study_title,sample_alias,lib_layout,lib_name,lib_selection,lib_source,lib_strategy
SRR521140,GSM958940_r1,SRX159600,FALSE,28617970,0,36,GSM958940_1,GSM958940: Mo17_smRNA_rep3; Zea mays; RNA-Seq,,Zea mays Epigenomics,GSM958940,,GSM958940: Mo17_smRNA_rep3,size fractionation,TRANSCRIPTOMIC,RNA-Seq
SRR521045,GSM958915_r5,SRX159575,TRUE,39436903,39436903,100,GSM958915_2,GSM958915: B73_DNA_rep3; Zea mays; Bisulfite-Seq,,Zea mays Epigenomics,GSM958915,,GSM958915: B73_DNA_rep3,RANDOM,GENOMIC,Bisulfite-Seq
SRR521044,GSM958915_r4,SRX159575,TRUE,35765547,35765547,100,GSM958915_2,GSM958915: B73_DNA_rep3; Zea mays; Bisulfite-Seq,,Zea mays Epigenomics,GSM958915,,GSM958915: B73_DNA_rep3,RANDOM,GENOMIC,Bisulfite-Seq
SRR521043,GSM958915_r3,SRX159575,TRUE,38876615,38876615,100,GSM958915_2,GSM958915: B73_DNA_rep3; Zea mays; Bisulfite-Seq,,Zea mays Epigenomics,GSM958915,,GSM958915: B73_DNA_rep3,RANDOM,GENOMIC,Bisulfite-Seq
SRR521042,GSM958915_r2,SRX159575,TRUE,37133537,37133537,100,GSM958915_2,GSM958915: B73_DNA_rep3; Zea mays; Bisulfite-Seq,,Zea mays Epigenomics,GSM958915,,GSM958915: B73_DNA_rep3,RANDOM,GENOMIC,Bisulfite-Seq
SRR521041,GSM958915_r15,SRX159575,TRUE,28720196,28720196,100,GSM958915_2,GSM958915: B73_DNA_rep3; Zea mays; Bisulfite-Seq,,Zea mays Epigenomics,GSM958915,,GSM958915: B73_DNA_rep3,RANDOM,GENOMIC,Bisulfite-Seq
SRR521040,GSM958915_r14,SRX159575,TRUE,32047847,32047847,100,GSM958915_2,GSM958915: B73_DNA_rep3; Zea mays; Bisulfite-Seq,,Zea mays Epigenomics,GSM958915,,GSM958915: B73_DNA_rep3,RANDOM,GENOMIC,Bisulfite-Seq
SRR521039,GSM958915_r13,SRX159575,TRUE,30211568,30211568,100,GSM958915_2,GSM958915: B73_DNA_rep3; Zea mays; Bisulfite-Seq,,Zea mays Epigenomics,GSM958915,,GSM958915: B73_DNA_rep3,RANDOM,GENOMIC,Bisulfite-Seq
SRR521038,GSM958915_r12,SRX159575,TRUE,31823435,31823435,100,GSM958915_2,GSM958915: B73_DNA_rep3; Zea mays; Bisulfite-Seq,,Zea mays Epigenomics,GSM958915,,GSM958915: B73_DNA_rep3,RANDOM,GENOMIC,Bisulfite-Seq
SRR521037,GSM958915_r11,SRX159575,TRUE,30161712,30161712,100,GSM958915_2,GSM958915: B73_DNA_rep3; Zea mays; Bisulfite-Seq,,Zea mays Epigenomics,GSM958915,,GSM958915: B73_DNA_rep3,RANDOM,GENOMIC,Bisulfite-Seq
SRR521036,GSM958915_r10,SRX159575,TRUE,30288789,30288789,100,GSM958915_2,GSM958915: B73_DNA_rep3; Zea mays; Bisulfite-Seq,,Zea mays Epigenomics,GSM958915,,GSM958915: B73_DNA_rep3,RANDOM,GENOMIC,Bisulfite-Seq
SRR521035,GSM958915_r1,SRX159575,TRUE,31471319,31471319,100,GSM958915_2,GSM958915: B73_DNA_rep3; Zea mays; Bisulfite-Seq,,Zea mays Epigenomics,GSM958915,,GSM958915: B73_DNA_rep3,RANDOM,GENOMIC,Bisulfite-Seq
SRR521024,GSM958914_r16,SRX159574,TRUE,20273046,20273046,100,GSM958914_2,GSM958914: B73_DNA_rep2; Zea mays; Bisulfite-Seq,,Zea mays Epigenomics,GSM958914,,GSM958914: B73_DNA_rep2,RANDOM,GENOMIC,Bisulfite-Seq
SRR521023,GSM958914_r15,SRX159574,TRUE,10673158,10673158,100,GSM958914_2,GSM958914: B73_DNA_rep2; Zea mays; Bisulfite-Seq,,Zea mays Epigenomics,GSM958914,,GSM958914: B73_DNA_rep2,RANDOM,GENOMIC,Bisulfite-Seq
SRR521020,GSM958914_r12,SRX159574,TRUE,14101719,14101719,100,GSM958914_2,GSM958914: B73_DNA_rep2; Zea mays; Bisulfite-Seq,,Zea mays Epigenomics,GSM958914,,GSM958914: B73_DNA_rep2,RANDOM,GENOMIC,Bisulfite-Seq
SRR521019,GSM958914_r11,SRX159574,TRUE,41836071,41836071,100,GSM958914_2,GSM958914: B73_DNA_rep2; Zea mays; Bisulfite-Seq,,Zea mays Epigenomics,GSM958914,,GSM958914: B73_DNA_rep2,RANDOM,GENOMIC,Bisulfite-Seq
SRR521018,GSM958914_r10,SRX159574,TRUE,43030913,43030913,100,GSM958914_2,GSM958914: B73_DNA_rep2; Zea mays; Bisulfite-Seq,,Zea mays Epigenomics,GSM958914,,GSM958914: B73_DNA_rep2,RANDOM,GENOMIC,Bisulfite-Seq
SRR521017,GSM958914_r1,SRX159574,TRUE,38987360,38987360,100,GSM958914_2,GSM958914: B73_DNA_rep2; Zea mays; Bisulfite-Seq,,Zea mays Epigenomics,GSM958914,,GSM958914: B73_DNA_rep2,RANDOM,GENOMIC,Bisulfite-Seq
SRR521034,GSM958914_r9,SRX159574,TRUE,43752597,43752597,100,GSM958914_2,GSM958914: B73_DNA_rep2; Zea mays; Bisulfite-Seq,,Zea mays Epigenomics,GSM958914,,GSM958914: B73_DNA_rep2,RANDOM,GENOMIC,Bisulfite-Seq
SRR521033,GSM958914_r8,SRX159574,TRUE,43603438,43603438,100,GSM958914_2,GSM958914: B73_DNA_rep2; Zea mays; Bisulfite-Seq,,Zea mays Epigenomics,GSM958914,,GSM958914: B73_DNA_rep2,RANDOM,GENOMIC,Bisulfite-Seq
SRR521032,GSM958914_r7,SRX159574,TRUE,42165042,42165042,100,GSM958914_2,GSM958914: B73_DNA_rep2; Zea mays; Bisulfite-Seq,,Zea mays Epigenomics,GSM958914,,GSM958914: B73_DNA_rep2,RANDOM,GENOMIC,Bisulfite-Seq
SRR521031,GSM958914_r6,SRX159574,TRUE,42235556,42235556,100,GSM958914_2,GSM958914: B73_DNA_rep2; Zea mays; Bisulfite-Seq,,Zea mays Epigenomics,GSM958914,,GSM958914: B73_DNA_rep2,RANDOM,GENOMIC,Bisulfite-Seq
SRR521030,GSM958914_r5,SRX159574,TRUE,39502986,39502986,100,GSM958914_2,GSM958914: B73_DNA_rep2; Zea mays; Bisulfite-Seq,,Zea mays Epigenomics,GSM958914,,GSM958914: B73_DNA_rep2,RANDOM,GENOMIC,Bisulfite-Seq
SRR521029,GSM958914_r4,SRX159574,TRUE,44332759,44332759,100,GSM958914_2,GSM958914: B73_DNA_rep2; Zea mays; Bisulfite-Seq,,Zea mays Epigenomics,GSM958914,,GSM958914: B73_DNA_rep2,RANDOM,GENOMIC,Bisulfite-Seq
SRR521028,GSM958914_r3,SRX159574,TRUE,44798791,44798791,100,GSM958914_2,GSM958914: B73_DNA_rep2; Zea mays; Bisulfite-Seq,,Zea mays Epigenomics,GSM958914,,GSM958914: B73_DNA_rep2,RANDOM,GENOMIC,Bisulfite-Seq
SRR521027,GSM958914_r2,SRX159574,TRUE,44362583,44362583,100,GSM958914_2,GSM958914: B73_DNA_rep2; Zea mays; Bisulfite-Seq,,Zea mays Epigenomics,GSM958914,,GSM958914: B73_DNA_rep2,RANDOM,GENOMIC,Bisulfite-Seq
SRR521026,GSM958914_r18,SRX159574,TRUE,17490532,17490532,100,GSM958914_2,GSM958914: B73_DNA_rep2; Zea mays; Bisulfite-Seq,,Zea mays Epigenomics,GSM958914,,GSM958914: B73_DNA_rep2,RANDOM,GENOMIC,Bisulfite-Seq
SRR521025,GSM958914_r17,SRX159574,TRUE,22862281,22862281,100,GSM958914_2,GSM958914: B73_DNA_rep2; Zea mays; Bisulfite-Seq,,Zea mays Epigenomics,GSM958914,,GSM958914: B73_DNA_rep2,RANDOM,GENOMIC,Bisulfite-Seq
SRR521022,GSM958914_r14,SRX159574,TRUE,13806671,13806671,100,GSM958914_2,GSM958914: B73_DNA_rep2; Zea mays; Bisulfite-Seq,,Zea mays Epigenomics,GSM958914,,GSM958914: B73_DNA_rep2,RANDOM,GENOMIC,Bisulfite-Seq
SRR521021,GSM958914_r13,SRX159574,TRUE,12454466,12454466,100,GSM958914_2,GSM958914: B73_DNA_rep2; Zea mays; Bisulfite-Seq,,Zea mays Epigenomics,GSM958914,,GSM958914: B73_DNA_rep2,RANDOM,GENOMIC,Bisulfite-Seq
SRR521008,GSM958913_r1,SRX159573,TRUE,36561219,36561219,89,GSM958913_2,GSM958913: B73_DNA_rep1_paired; Zea mays; Bisulfite-Seq,,Zea mays Epigenomics,GSM958913,,GSM958913: B73_DNA_rep1_paired,RANDOM,GENOMIC,Bisulfite-Seq
SRR521009,GSM958913_r2,SRX159573,TRUE,36854247,36854247,89,GSM958913_2,GSM958913: B73_DNA_rep1_paired; Zea mays; Bisulfite-Seq,,Zea mays Epigenomics,GSM958913,,GSM958913: B73_DNA_rep1_paired,RANDOM,GENOMIC,Bisulfite-Seq
SRR521010,GSM958913_r3,SRX159573,TRUE,36694452,36694452,89,GSM958913_2,GSM958913: B73_DNA_rep1_paired; Zea mays; Bisulfite-Seq,,Zea mays Epigenomics,GSM958913,,GSM958913: B73_DNA_rep1_paired,RANDOM,GENOMIC,Bisulfite-Seq
SRR521011,GSM958913_r4,SRX159573,TRUE,36338140,36338140,89,GSM958913_2,GSM958913: B73_DNA_rep1_paired; Zea mays; Bisulfite-Seq,,Zea mays Epigenomics,GSM958913,,GSM958913: B73_DNA_rep1_paired,RANDOM,GENOMIC,Bisulfite-Seq
SRR521012,GSM958913_r5,SRX159573,TRUE,36117573,36117573,89,GSM958913_2,GSM958913: B73_DNA_rep1_paired; Zea mays; Bisulfite-Seq,,Zea mays Epigenomics,GSM958913,,GSM958913: B73_DNA_rep1_paired,RANDOM,GENOMIC,Bisulfite-Seq
SRR521013,GSM958913_r6,SRX159573,TRUE,36514075,36514075,89,GSM958913_2,GSM958913: B73_DNA_rep1_paired; Zea mays; Bisulfite-Seq,,Zea mays Epigenomics,GSM958913,,GSM958913: B73_DNA_rep1_paired,RANDOM,GENOMIC,Bisulfite-Seq
SRR521014,GSM958913_r7,SRX159573,TRUE,35598045,35598045,89,GSM958913_2,GSM958913: B73_DNA_rep1_paired; Zea mays; Bisulfite-Seq,,Zea mays Epigenomics,GSM958913,,GSM958913: B73_DNA_rep1_paired,RANDOM,GENOMIC,Bisulfite-Seq
SRR521015,GSM958913_r8,SRX159573,TRUE,27276754,27276754,152,GSM958913_2,GSM958913: B73_DNA_rep1_paired; Zea mays; Bisulfite-Seq,,Zea mays Epigenomics,GSM958913,,GSM958913: B73_DNA_rep1_paired,RANDOM,GENOMIC,Bisulfite-Seq
SRR521016,GSM958913_r9,SRX159573,TRUE,21314682,21314682,100,GSM958913_2,GSM958913: B73_DNA_rep1_paired; Zea mays; Bisulfite-Seq,,Zea mays Epigenomics,GSM958913,,GSM958913: B73_DNA_rep1_paired,RANDOM,GENOMIC,Bisulfite-Seq
SRR521007,GSM958912_r1,SRX159572,FALSE,27916656,0,76,GSM958912_1,GSM958912: B73_DNA_rep1; Zea mays; Bisulfite-Seq,,Zea mays Epigenomics,GSM958912,,GSM958912: B73_DNA_rep1,RANDOM,GENOMIC,Bisulfite-Seq
SRR521006,GSM958911_r1,SRX159571,TRUE,131360443,131360443,100,GSM958911_2,GSM958911: B73_RNA_rep3; Zea mays; RNA-Seq,,Zea mays Epigenomics,GSM958911,,GSM958911: B73_RNA_rep3,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR521005,GSM958910_r1,SRX159570,TRUE,175499744,175499744,100,GSM958910_2,GSM958910: Mo17_RNA_rep3; Zea mays; RNA-Seq,,Zea mays Epigenomics,GSM958910,,GSM958910: Mo17_RNA_rep3,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR521004,GSM958909_r1,SRX159569,TRUE,163754723,163754723,100,GSM958909_2,GSM958909: Mo17_RNA_rep2; Zea mays; RNA-Seq,,Zea mays Epigenomics,GSM958909,,GSM958909: Mo17_RNA_rep2,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR521003,GSM958908_r1,SRX159568,TRUE,150150264,150150264,100,GSM958908_2,GSM958908: B73_RNA_rep2; Zea mays; RNA-Seq,,Zea mays Epigenomics,GSM958908,,GSM958908: B73_RNA_rep2,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR521002,GSM958907_r3,SRX159567,TRUE,26156451,26156451,100,GSM958907_2,GSM958907: Mo17_RNA_rep1; Zea mays; RNA-Seq,,Zea mays Epigenomics,GSM958907,,GSM958907: Mo17_RNA_rep1,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR521001,GSM958907_r2,SRX159567,TRUE,26771887,26771887,100,GSM958907_2,GSM958907: Mo17_RNA_rep1; Zea mays; RNA-Seq,,Zea mays Epigenomics,GSM958907,,GSM958907: Mo17_RNA_rep1,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR521000,GSM958907_r1,SRX159567,TRUE,9908158,9908158,100,GSM958907_2,GSM958907: Mo17_RNA_rep1; Zea mays; RNA-Seq,,Zea mays Epigenomics,GSM958907,,GSM958907: Mo17_RNA_rep1,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR520999,GSM958906_r2,SRX159566,TRUE,9920253,9920253,100,GSM958906_2,GSM958906: B73_RNA_rep1; Zea mays; RNA-Seq,,Zea mays Epigenomics,GSM958906,,GSM958906: B73_RNA_rep1,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR520998,GSM958906_r1,SRX159566,TRUE,10091915,10091915,100,GSM958906_2,GSM958906: B73_RNA_rep1; Zea mays; RNA-Seq,,Zea mays Epigenomics,GSM958906,,GSM958906: B73_RNA_rep1,cDNA,TRANSCRIPTOMIC,RNA-Seq
