SampleID	Tissue	Genotype	Treatment	directory	file_prefix
BR160	endosperm27D	B73xMo17	27DAP	/home/springer/data_release/umgc/hiseq/170210_D00635_0201_BCAK8EANXX/Springer_Project_052	briggs_pool9_12_index6_S76
BR161	endosperm27D	B73xMo17	27DAP	/home/springer/data_release/umgc/hiseq/170210_D00635_0201_BCAK8EANXX/Springer_Project_052	briggs_pool9_12_index9_S79
BR162	endosperm27D	B73xMo17	27DAP	/home/springer/data_release/umgc/hiseq/170210_D00635_0201_BCAK8EANXX/Springer_Project_052	briggs_pool9_12_index7_S77
BR163	endosperm27D	Mo17xB73	27DAP	/home/springer/data_release/umgc/hiseq/170210_D00635_0201_BCAK8EANXX/Springer_Project_052	briggs_pool9_12_index10_S80
BR164	endosperm27D	Mo17xB73	27DAP	/home/springer/data_release/umgc/hiseq/170210_D00635_0201_BCAK8EANXX/Springer_Project_052	briggs_pool9_12_index12_S82
BR165	endosperm27D	Mo17xB73	27DAP	/home/springer/data_release/umgc/hiseq/170210_D00635_0201_BCAK8EANXX/Springer_Project_052	briggs_pool9_12_index11_S81
BR166	coleoptile	B73		/home/springer/data_release/umgc/hiseq/180103_D00635_0319_ACC5PFANXX/Springer_Project_058	briggs_pool10_18_Index2_S2
BR167	coleoptile	B73		/home/springer/data_release/umgc/hiseq/180103_D00635_0319_ACC5PFANXX/Springer_Project_058	briggs_pool10_18_Index1_S1
BR168	coleoptile	B73		/home/springer/data_release/umgc/hiseq/180103_D00635_0319_ACC5PFANXX/Springer_Project_058	briggs_pool10_18_Index4_S4
BR169	coleoptile	Mo17		/home/springer/data_release/umgc/hiseq/180103_D00635_0319_ACC5PFANXX/Springer_Project_058	briggs_pool10_18_Index3_S3
BR170	coleoptile	Mo17		/home/springer/data_release/umgc/hiseq/180103_D00635_0319_ACC5PFANXX/Springer_Project_058	briggs_pool10_18_Index5_S5
BR171	coleoptile	Mo17		/home/springer/data_release/umgc/hiseq/180103_D00635_0319_ACC5PFANXX/Springer_Project_058	briggs_pool10_18_Index8_S8
BR172	coleoptile	B73xMo17		/home/springer/data_release/umgc/hiseq/180103_D00635_0319_ACC5PFANXX/Springer_Project_058	briggs_pool10_18_Index6_S6
BR173	coleoptile	B73xMo17		/home/springer/data_release/umgc/hiseq/180103_D00635_0319_ACC5PFANXX/Springer_Project_058	briggs_pool10_18_Index9_S9
BR174	coleoptile	B73xMo17		/home/springer/data_release/umgc/hiseq/180103_D00635_0319_ACC5PFANXX/Springer_Project_058	briggs_pool10_18_Index7_S7
BR175	radicle_root	B73		/home/springer/data_release/umgc/hiseq/180103_D00635_0319_ACC5PFANXX/Springer_Project_058	briggs_pool10_18_Index10_S10
BR176	radicle_root	B73		/home/springer/data_release/umgc/hiseq/180103_D00635_0319_ACC5PFANXX/Springer_Project_058	briggs_pool10_18_Index12_S12
BR177	radicle_root	B73		/home/springer/data_release/umgc/hiseq/180103_D00635_0319_ACC5PFANXX/Springer_Project_058	briggs_pool10_18_Index11_S11
BR178	radicle_root	Mo17		/home/springer/data_release/umgc/hiseq/180103_D00635_0319_ACC5PFANXX/Springer_Project_058	briggs_pool10_18_Index13_S13
BR179	radicle_root	Mo17		/home/springer/data_release/umgc/hiseq/180103_D00635_0319_ACC5PFANXX/Springer_Project_058	briggs_pool10_18_Index20_S16
BR180	radicle_root	Mo17		/home/springer/data_release/umgc/hiseq/180103_D00635_0319_ACC5PFANXX/Springer_Project_058	briggs_pool10_18_Index14_S14
BR181	radicle_root	B73xMo17		/home/springer/data_release/umgc/hiseq/180103_D00635_0319_ACC5PFANXX/Springer_Project_058	briggs_pool10_18_Index21_S17
BR182	radicle_root	B73xMo17		/home/springer/data_release/umgc/hiseq/180103_D00635_0319_ACC5PFANXX/Springer_Project_058	briggs_pool10_18_Index15_S15
BR183	radicle_root	B73xMo17		/home/springer/data_release/umgc/hiseq/180103_D00635_0319_ACC5PFANXX/Springer_Project_058	briggs_pool10_18_Index22_S18
BR184	seed_imbibed	B73		/home/springer/data_release/umgc/hiseq/180109_D00635_0322_BCATGLANXX/Springer_Project_058	briggs_pool11_18_Index2_S8
BR242	seed_imbibed	B73		/home/springer/data_release/umgc/hiseq/180109_D00635_0322_BCATGLANXX/Springer_Project_058	briggs_pool11_18_Index1_S1
BR243	seed_imbibed	B73		/home/springer/data_release/umgc/hiseq/180109_D00635_0322_BCATGLANXX/Springer_Project_058	briggs_pool11_18_Index4_S13
BR245	seed_imbibed	Mo17		/home/springer/data_release/umgc/hiseq/180109_D00635_0322_BCATGLANXX/Springer_Project_058	briggs_pool11_18_Index3_S12
BR188	seed_imbibed	Mo17		/home/springer/data_release/umgc/hiseq/180109_D00635_0322_BCATGLANXX/Springer_Project_058	briggs_pool11_18_Index5_S14
BR227	seed_imbibed	Mo17		/home/springer/data_release/umgc/hiseq/180109_D00635_0322_BCATGLANXX/Springer_Project_058	briggs_pool11_18_Index8_S17
BR230	seed_imbibed	B73xMo17		/home/springer/data_release/umgc/hiseq/180109_D00635_0322_BCATGLANXX/Springer_Project_058	briggs_pool11_18_Index6_S15
BR191	seed_imbibed	B73xMo17		/home/springer/data_release/umgc/hiseq/180109_D00635_0322_BCATGLANXX/Springer_Project_058	briggs_pool11_18_Index9_S18
BR192	seed_imbibed	B73xMo17		/home/springer/data_release/umgc/hiseq/180109_D00635_0322_BCATGLANXX/Springer_Project_058	briggs_pool11_18_Index7_S16
BR193	seedling_leaf	B73	11DAS	/home/springer/data_release/umgc/hiseq/180109_D00635_0322_BCATGLANXX/Springer_Project_058	briggs_pool11_18_Index10_S2
BR194	seedling_leaf	B73	11DAS	/home/springer/data_release/umgc/hiseq/180109_D00635_0322_BCATGLANXX/Springer_Project_058	briggs_pool11_18_Index12_S4
BR195	seedling_leaf	B73	11DAS	/home/springer/data_release/umgc/hiseq/180109_D00635_0322_BCATGLANXX/Springer_Project_058	briggs_pool11_18_Index11_S3
BR196	seedling_leaf	Mo17	11DAS	/home/springer/data_release/umgc/hiseq/180109_D00635_0322_BCATGLANXX/Springer_Project_058	briggs_pool11_18_Index13_S5
BR197	seedling_leaf	Mo17	11DAS	/home/springer/data_release/umgc/hiseq/180109_D00635_0322_BCATGLANXX/Springer_Project_058	briggs_pool11_18_Index20_S9
BR198	seedling_leaf	Mo17	11DAS	/home/springer/data_release/umgc/hiseq/180109_D00635_0322_BCATGLANXX/Springer_Project_058	briggs_pool11_18_Index14_S6
BR199	seedling_leaf	B73xMo17	11DAS	/home/springer/data_release/umgc/hiseq/180109_D00635_0322_BCATGLANXX/Springer_Project_058	briggs_pool11_18_Index21_S10
BR200	seedling_leaf	B73xMo17	11DAS	/home/springer/data_release/umgc/hiseq/180109_D00635_0322_BCATGLANXX/Springer_Project_058	briggs_pool11_18_Index15_S7
BR201	seedling_leaf	B73xMo17	11DAS	/home/springer/data_release/umgc/hiseq/180109_D00635_0322_BCATGLANXX/Springer_Project_058	briggs_pool11_18_Index22_S11
BR202	seedling_root	B73	11DAS	/home/springer/data_release/umgc/hiseq/180109_D00635_0322_BCATGLANXX/Springer_Project_058	briggs_pool12_18_Index2_S26
BR203	seedling_root	B73	11DAS	/home/springer/data_release/umgc/hiseq/180109_D00635_0322_BCATGLANXX/Springer_Project_058	briggs_pool12_18_Index1_S19
BR204	seedling_root	B73	11DAS	/home/springer/data_release/umgc/hiseq/180109_D00635_0322_BCATGLANXX/Springer_Project_058	briggs_pool12_18_Index4_S31
BR187	seed_imbibed	Mo17		/home/springer/data_release/umgc/hiseq/180109_D00635_0322_BCATGLANXX/Springer_Project_058	briggs_pool12_18_Index3_S30
BR206	seedling_root	Mo17	11DAS	/home/springer/data_release/umgc/hiseq/180109_D00635_0322_BCATGLANXX/Springer_Project_058	briggs_pool12_18_Index5_S32
BR207	seedling_root	Mo17	11DAS	/home/springer/data_release/umgc/hiseq/180109_D00635_0322_BCATGLANXX/Springer_Project_058	briggs_pool12_18_Index8_S35
BR208	seedling_root	B73xMo17	11DAS	/home/springer/data_release/umgc/hiseq/180109_D00635_0322_BCATGLANXX/Springer_Project_058	briggs_pool12_18_Index6_S33
BR209	seedling_root	B73xMo17	11DAS	/home/springer/data_release/umgc/hiseq/180109_D00635_0322_BCATGLANXX/Springer_Project_058	briggs_pool12_18_Index9_S36
BR235	seed_imbibed	B73		/home/springer/data_release/umgc/hiseq/180109_D00635_0322_BCATGLANXX/Springer_Project_058	briggs_pool12_18_Index7_S34
BR211	seedling_meristem	B73	11DAS	/home/springer/data_release/umgc/hiseq/180109_D00635_0322_BCATGLANXX/Springer_Project_058	briggs_pool12_18_Index10_S20
BR212	seedling_meristem	B73	11DAS	/home/springer/data_release/umgc/hiseq/180109_D00635_0322_BCATGLANXX/Springer_Project_058	briggs_pool12_18_Index12_S22
BR213	seedling_meristem	B73	11DAS	/home/springer/data_release/umgc/hiseq/180109_D00635_0322_BCATGLANXX/Springer_Project_058	briggs_pool12_18_Index11_S21
BR214	seedling_meristem	Mo17	11DAS	/home/springer/data_release/umgc/hiseq/180109_D00635_0322_BCATGLANXX/Springer_Project_058	briggs_pool12_18_Index13_S23
BR215	seedling_meristem	Mo17	11DAS	/home/springer/data_release/umgc/hiseq/180109_D00635_0322_BCATGLANXX/Springer_Project_058	briggs_pool12_18_Index20_S27
BR216	seedling_meristem	Mo17	11DAS	/home/springer/data_release/umgc/hiseq/180109_D00635_0322_BCATGLANXX/Springer_Project_058	briggs_pool12_18_Index14_S24
BR217	seedling_meristem	B73xMo17	11DAS	/home/springer/data_release/umgc/hiseq/180109_D00635_0322_BCATGLANXX/Springer_Project_058	briggs_pool12_18_Index21_S28
BR218	seedling_meristem	B73xMo17	11DAS	/home/springer/data_release/umgc/hiseq/180109_D00635_0322_BCATGLANXX/Springer_Project_058	briggs_pool12_18_Index15_S25
BR219	seedling_meristem	B73xMo17	11DAS	/home/springer/data_release/umgc/hiseq/180109_D00635_0322_BCATGLANXX/Springer_Project_058	briggs_pool12_18_Index22_S29
